用户ID,商品ID,行为类型,行为时间,行为时长(秒)
1001,2001,浏览,2023-05-01 08:30:00,65
1001,2001,加购,2023-05-01 08:35:00,12
1001,2003,view,2023/05/01 09:15:00,48
1002,2004,buy,2023-05-01 10:20:00,35
1002,2004,购买,2023-05-01 10:25:00,28
1003,2007,收藏,2023-05-01 11:10:00,-5
1003,2007,collect,2023-05-01 11:12:00,15
1004,2010,浏览,2023-05-01 13:45:00,72
1004,2010,purchase,2023/05/01 13:50:00,42
1005,2002,加购,2023-05-01 14:20:00,18
1005,2002,addcart,2023-05-01 14:22:00,
1005,2014,浏览,2023-05-01 14:25:00,55
1006,2019,购买,2023-05-01 15:30:00,38
1006,2019,buy,2023-05-01 15:32:00,25
1007,2009,收藏,2023-05-01 16:40:00,14
1007,2009,save,2023/05/01 16:42:00,9
1008,2005,浏览,2023-05-01 17:15:00,68
1008,2005,购买,2023-05-01 17:18:00,32
1009,2008,look,2023-05-01 18:20:00,45
1009,2008,浏览,2023-05-01 18:20:00,45
1010,2012,加购,2023-05-01 19:05:00,22
1010,2012,cart,2023/05/01 19:07:00,16
1011,2006,浏览,2023-05-01 20:30:00,85
1011,2006,购买,2023-05-01 20:35:00,48
1012,2015,浏览,2023-05-02 09:10:00,52
1012,2015,加购,2023-05-02 09:12:00,19
1013,2017,收藏,2023/05/02 10:45:00,11
1013,2017,save,2023-05-02 10:47:00,8
1014,2020,浏览,2023-05-02 11:20:00,63
1014,2020,购买,2023-05-02 11:25:00,39
1015,2003,浏览,2023-05-02 14:10:00,78
1015,2003,buy,2023/05/02 14:15:00,45
1016,2016,加购,2023-05-02 15:30:00,24
1016,2016,addcart,2023-05-02 15:32:00,17
1017,2018,浏览,2023-05-02 16:45:00,58
1017,2018,收藏,2023-05-02 16:48:00,13
1018,2011,浏览,2023/05/02 17:20:00,66
1018,2011,购买,2023-05-02 17:23:00,36
1019,2013,加购,2023-05-02 19:10:00,21
1019,2013,cart,2023-05-02 19:12:00,15
1020,2001,浏览,2023-05-02 20:30:00,71
1020,2001,购买,2023/05/02 20:35:00,42
1001,2014,浏览,2023-05-03 08:45:00,59
1001,2014,buy,2023-05-03 08:50:00,33
1002,2009,浏览,2023-05-03 09:20:00,64
1002,2009,加购,2023/05/03 09:22:00,18
1003,2019,浏览,2023-05-03 10:15:00,75
1003,2019,购买,2023-05-03 10:18:00,40
1004,2005,浏览,2023-05-03 13:30:00,68
1004,2005,收藏,2023-05-03 13:33:00,12
1005,2007,浏览,2023/05/03 14:45:00,72
1005,2007,save,2023-05-03 14:48:00,10
1006,2002,浏览,2023-05-03 15:20:00,61
1006,2002,购买,2023-05-03 15:25:00,37
1007,2012,浏览,2023-05-03 16:30:00,55
1007,2012,加购,2023/05/03 16:32:00,20
1008,2017,浏览,2023-05-03 17:10:00,69
1008,2017,收藏,2023-05-03 17:13:00,14
1009,2006,浏览,2023-05-03 18:25:00,82
1009,2006,购买,2023-05-03 18:30:00,49
1010,2015,浏览,2023/05/03 19:40:00,73
1010,2015,buy,2023-05-03 19:45:00,44
1011,2020,浏览,2023-05-03 20:15:00,67
1011,2020,收藏,2023-05-03 20:18:00,16
1012,2003,浏览,2023-05-04 09:30:00,79
1012,2003,加购,2023-05-04 09:32:00,23
1013,2016,浏览,2023/05/04 10:40:00,65
1013,2016,购买,2023-05-04 10:45:00,41
1014,2018,浏览,2023-05-04 11:25:00,58
1014,2018,收藏,2023-05-04 11:28:00,13
1015,2011,浏览,2023-05-04 14:15:00,76
1015,2011,buy,2023/05/04 14:20:00,46
1016,2013,浏览,2023-05-04 15:35:00,62
1016,2013,加购,2023-05-04 15:37:00,19
1017,2001,浏览,2023-05-04 16:50:00,74
1017,2001,购买,2023-05-04 16:55:00,43
1018,2014,浏览,2023/05/04 17:25:00,61
1018,2014,加购,2023-05-04 17:27:00,18
1019,2009,浏览,2023-05-04 19:15:00,68
1019,2009,收藏,2023-05-04 19:18:00,15
1020,2019,浏览,2023-05-04 20:35:00,77
1020,2019,购买,2023/05/04 20:40:00,48
