用户ID,商品ID,行为类型,行为时间,行为时长(秒),行为日期,行为小时,星期几,月份,是否周末,时间段,性别,年龄,注册时间,所在城市,注册设备,会员等级,注册时长(天),年龄分组,商品名称,类别,价格,上架时间,库存,品牌,评分,价格区间,购买金额,总消费,消费等级,上架天数
1001,2001,浏览,2023-05-01 08:30:00.000000,65.0,2023-05-01,8,0,5,0,上午,男,28.0,2022-03-15,北京,华为,黄金,119,中青年(25-34),男士休闲T恤,服装,89,2022-01-10,120.0,优衣库,4.5,中低价(50-199),0,0,未消费,476
1001,2001,加购,2023-05-01 08:35:00.000000,12.0,2023-05-01,8,0,5,0,上午,男,28.0,2022-03-15,北京,华为,黄金,119,中青年(25-34),男士休闲T恤,服装,89,2022-01-10,120.0,优衣库,4.5,中低价(50-199),0,0,未消费,476
1001,2003,浏览,2023-05-03 23:56:57.814652,48.0,2023-05-03,23,2,5,0,深夜,男,28.0,2022-03-15,北京,华为,黄金,119,中青年(25-34),运动跑步鞋,鞋类,399,2021-11-05,60.0,耐克,4.8,中高价(200-499),0,0,未消费,544
1002,2004,购买,2023-05-01 10:20:00.000000,35.0,2023-05-01,10,0,5,0,上午,女,32.0,2022-05-20,上海,苹果,白银,53,中青年(25-34),高跟鞋,鞋类,259,2022-03-20,45.0,百丽,4.3,中高价(200-499),259,518,高消费,407
1002,2004,购买,2023-05-01 10:25:00.000000,28.0,2023-05-01,10,0,5,0,上午,女,32.0,2022-05-20,上海,苹果,白银,53,中青年(25-34),高跟鞋,鞋类,259,2022-03-20,45.0,百丽,4.3,中高价(200-499),259,518,高消费,407
1003,2007,收藏,2023-05-01 11:10:00.000000,0.0,2023-05-01,11,0,5,0,上午,女,35.0,2022-01-10,广州,小米,青铜,183,中年(35-49),笔记本电脑,电子,2009,2021-12-10,25.0,苹果,4.7,高价(≥500),0,0,未消费,507
1003,2007,收藏,2023-05-01 11:12:00.000000,15.0,2023-05-01,11,0,5,0,上午,女,35.0,2022-01-10,广州,小米,青铜,183,中年(35-49),笔记本电脑,电子,2009,2021-12-10,25.0,苹果,4.7,高价(≥500),0,0,未消费,507
1005,2002,加购,2023-05-01 14:20:00.000000,18.0,2023-05-01,14,0,5,0,下午,女,23.0,2022-06-30,杭州,vivo,白银,12,青年(18-24),女士连衣裙,服装,159,2022-02-15,85.0,ZARA,4.7,中低价(50-199),0,0,未消费,440
1005,2002,加购,2023-05-01 14:22:00.000000,18.0,2023-05-01,14,0,5,0,下午,女,23.0,2022-06-30,杭州,vivo,白银,12,青年(18-24),女士连衣裙,服装,159,2022-02-15,85.0,ZARA,4.7,中低价(50-199),0,0,未消费,440
1007,2009,收藏,2023-05-01 16:40:00.000000,14.0,2023-05-01,16,0,5,0,下午,男,55.0,2021-09-03,武汉,华为,黄金,312,老年(≥50),面霜,美妆,45,2021-10-18,150.0,,,低价(<50),0,0,未消费,560
1007,2009,收藏,2023-05-02 22:27:24.956663,9.0,2023-05-02,22,1,5,0,深夜,男,55.0,2021-09-03,武汉,华为,黄金,312,老年(≥50),面霜,美妆,45,2021-10-18,150.0,,,低价(<50),0,0,未消费,561
1008,2005,浏览,2023-05-01 17:15:00.000000,68.0,2023-05-01,17,0,5,0,下午,女,31.0,2022-04-25,南京,苹果,白银,78,中青年(25-34),机械手表,配饰,899,2021-10-18,30.0,卡西欧,4.6,高价(≥500),0,899,高消费,560
1008,2005,购买,2023-05-01 17:18:00.000000,32.0,2023-05-01,17,0,5,0,下午,女,31.0,2022-04-25,南京,苹果,白银,78,中青年(25-34),机械手表,配饰,899,2021-10-18,30.0,卡西欧,4.6,高价(≥500),899,899,高消费,560
1009,2008,浏览,2023-05-01 18:20:00.000000,45.0,2023-05-01,18,0,5,0,晚上,男,26.0,2022-07-12,重庆,小米,青铜,0,中青年(25-34),口红,美妆,199,2022-02-05,150.0,迪奥,4.8,中低价(50-199),0,2009,高消费,450
1009,2008,浏览,2023-05-01 18:20:00.000000,45.0,2023-05-01,18,0,5,0,晚上,男,26.0,2022-07-12,重庆,小米,青铜,0,中青年(25-34),口红,美妆,199,2022-02-05,150.0,迪奥,4.8,中低价(50-199),0,2009,高消费,450
1011,2006,浏览,2023-05-01 20:30:00.000000,85.0,2023-05-01,20,0,5,0,晚上,女,29.0,2022-03-22,青岛,vivo,白银,112,中青年(25-34),智能手机,电子,2009,2022-01-25,50.0,华为,4.9,高价(≥500),0,2009,高消费,461
1011,2006,购买,2023-05-01 20:35:00.000000,48.0,2023-05-01,20,0,5,0,晚上,女,29.0,2022-03-22,青岛,vivo,白银,112,中青年(25-34),智能手机,电子,2009,2022-01-25,50.0,华为,4.9,高价(≥500),2009,2009,高消费,461
1015,2003,浏览,2023-05-02 14:10:00.000000,78.0,2023-05-02,14,1,5,0,下午,男,17.0,2022-06-18,济南,小米,青铜,24,少年(<18),运动跑步鞋,鞋类,399,2021-11-05,60.0,耐克,4.8,中高价(200-499),0,399,中消费,543
1015,2003,购买,2023-05-04 10:07:06.919623,45.0,2023-05-04,10,3,5,0,上午,男,17.0,2022-06-18,济南,小米,青铜,24,少年(<18),运动跑步鞋,鞋类,399,2021-11-05,60.0,耐克,4.8,中高价(200-499),399,399,中消费,545
1020,2001,浏览,2023-05-02 20:30:00.000000,71.0,2023-05-02,20,1,5,0,晚上,女,52.0,2022-07-03,石家庄,苹果,白银,9,老年(≥50),男士休闲T恤,服装,89,2022-01-10,120.0,优衣库,4.5,中低价(50-199),0,89,低消费,477
1020,2001,购买,2023-05-04 01:30:45.989162,42.0,2023-05-04,1,3,5,0,深夜,女,52.0,2022-07-03,石家庄,苹果,白银,9,老年(≥50),男士休闲T恤,服装,89,2022-01-10,120.0,优衣库,4.5,中低价(50-199),89,89,低消费,479
1002,2009,浏览,2023-05-03 09:20:00.000000,64.0,2023-05-03,9,2,5,0,上午,女,32.0,2022-05-20,上海,苹果,白银,53,中青年(25-34),面霜,美妆,45,2021-10-18,150.0,,,低价(<50),0,518,高消费,562
1002,2009,加购,2023-05-01 22:34:27.217338,18.0,2023-05-01,22,0,5,0,深夜,女,32.0,2022-05-20,上海,苹果,白银,53,中青年(25-34),面霜,美妆,45,2021-10-18,150.0,,,低价(<50),0,518,高消费,560
1004,2005,浏览,2023-05-03 13:30:00.000000,68.0,2023-05-03,13,2,5,0,中午,男,42.0,2021-11-05,深圳,OPPO,黄金,249,中年(35-49),机械手表,配饰,899,2021-10-18,30.0,卡西欧,4.6,高价(≥500),0,0,未消费,562
1004,2005,收藏,2023-05-03 13:33:00.000000,12.0,2023-05-03,13,2,5,0,中午,男,42.0,2021-11-05,深圳,OPPO,黄金,249,中年(35-49),机械手表,配饰,899,2021-10-18,30.0,卡西欧,4.6,高价(≥500),0,0,未消费,562
1005,2007,浏览,2023-05-03 13:58:28.435051,72.0,2023-05-03,13,2,5,0,中午,女,23.0,2022-06-30,杭州,vivo,白银,12,青年(18-24),笔记本电脑,电子,2009,2021-12-10,25.0,苹果,4.7,高价(≥500),0,0,未消费,509
1005,2007,收藏,2023-05-03 14:48:00.000000,10.0,2023-05-03,14,2,5,0,下午,女,23.0,2022-06-30,杭州,vivo,白银,12,青年(18-24),笔记本电脑,电子,2009,2021-12-10,25.0,苹果,4.7,高价(≥500),0,0,未消费,509
1006,2002,浏览,2023-05-03 15:20:00.000000,61.0,2023-05-03,15,2,5,0,下午,男,19.0,2022-02-18,成都,其他,青铜,144,青年(18-24),女士连衣裙,服装,159,2022-02-15,85.0,ZARA,4.7,中低价(50-199),0,159,中消费,442
1006,2002,购买,2023-05-03 15:25:00.000000,37.0,2023-05-03,15,2,5,0,下午,男,19.0,2022-02-18,成都,其他,青铜,144,青年(18-24),女士连衣裙,服装,159,2022-02-15,85.0,ZARA,4.7,中低价(50-199),159,159,中消费,442
